,RealID,gender,SPSRWD,BISBAS_BAS,PC1
0,1001,1,7,44,0.664463343
1,1002,2,15,35,-1.433882197
2,1003,1,6,45,0.828701384
3,1004,1,14,39,1.083679491
4,1004,1,14,39,1.083679491
5,1005,1,10,41,0.171749222
6,1006,2,12,37,-1.725609291
7,1006,2,12,37,-1.725609291
8,1007,1,14,37,-0.485202941
9,1008,2,18,31,-2.711037535
10,1009,1,12,40,0.627714356
11,1010,2,11,37,-2.345812467
12,1011,2,14,39,1.083679491
13,1012,1,5,33,-9.204796383
14,1013,1,16,41,3.892968274
15,1014,1,11,38,-1.561371251
16,1015,1,9,35,-5.155101249
17,1016,1,15,40,2.488323882
18,1017,1,10,36,-3.750456858
19,1018,1,20,45,9.511545839
20,1019,1,15,39,1.703882667
21,1020,2,18,43,6.702257056
22,1021,1,11,37,-2.345812467
23,1022,1,21,46.58333333,11.37378094
24,1023,2,13,38,-0.3209649
25,1240,1,17,49,10.78870118
26,1241,1,10,35,-4.534898074
27,1242,1,14,40,1.868120707
28,1243,1,11,35,-3.914694899
29,1244,1,15,48,8.76385361
30,1245,1,9,36,-4.370660033
31,1247,1,14,41,2.652561923
32,1248,2,14,39,1.083679491
33,1249,1,13,40,1.247917532
34,1250,1,10,38,-2.181574426
35,1251,2,8,24.91666667,-13.68508668
36,1253,1,16,40,3.108527058
37,1255,1,11,38,-1.561371251
38,1264,2,18,39,3.564492193
39,1267,1,3,36,-8.091879086
40,1272,1,8,35,-5.775304425
41,1273,1,13,40,1.247917532
42,1276,1,10,36,-3.750456858
43,1280,1,10,31,-7.672662938
44,1282,1,16,41,3.892968274
45,1286,1,12,38,-0.941168076
46,1294,1,9,37,-3.586218818
47,1299,1,16,41,3.892968274
48,1300,1,9,33,-6.723983681
49,1301,1,8,38,-3.421980777
50,1302,1,20,47,11.08042827
51,1303,1,13,37,-1.105406116
52,3101,1,12,38,-0.941168076
53,3116,1,12,41,1.412155572
54,3122,1,16,40,3.108527058
55,3125,2,18,44,7.486698272
56,3127,2,13,37,-1.105406116
57,3129,1,21,43,8.562866582
58,3132,1,12,35,-3.294491723
59,3139,1,11,36,-3.130253683
60,3140,1,11,37,-2.345812467
61,3143,1,13,37,-1.105406116
62,3146,1,12,41,1.412155572
63,3147,2,14,50,9.712532867
64,3152,1,16,42,4.67740949
65,3153,1,5,32,-9.989237599
66,3164,2,20,51,14.21819313
67,3166,1,7,36,-5.611066384
68,3167,1,9,37,-3.586218818
69,3170,1,9,32,-7.508424897
70,3173,2,14,43,4.221444355
71,3175,1,8,34,-6.559745641
72,3176,1,8.347826087,36,-4.775140365
73,3178,1,9,38,-2.801777602
74,3180,1,11,41,0.791952397
75,3186,1,21,49,13.26951388
76,3188,1,19,41,5.7535778
77,3189,2,12,37,-1.725609291
78,3190,1,14,43,4.221444355
79,3197,1,10,36,-3.750456858
80,3199,1,12,40,0.627714356
81,3200,2,8,35,-5.775304425
82,3201,1,14,39,1.083679491
83,3203,1,14,46,6.574768003
84,3204,1,8,33,-7.344186857
85,3206,2,12,36,-2.510050507
86,3210,2,14,41,2.652561923
87,3212,1,7,36,-5.611066384
88,3218,2,13,37,-1.105406116
89,3220,1,13,39,0.463476316
