onset	duration	trial_type	rt	resp
0.00040210000588558614	0.7143719999876339	fixation_1	999	999
0.7148914999852423	3.0755594999936875	face	n/a	n/a
3.7904863999865483	0.7143719999876339	fixation_2	999	999
4.334137700003339	1.0004279999993742	feedback win	999	999
5.3345974999829195	5.317390800017165	ITI	999	999
10.668871800007764	0.6866758999822196	fixation_1	999	999
11.35568459998467	3.3420367000217084	face	3.335175700020045	2
14.69784839998465	0.6866758999822196	fixation_2	999	999
15.241578099987237	1.001047199999448	feedback loss	999	999
16.242627900006482	1.1176503999740817	ITI	999	999
17.363796199992066	0.646624699991662	fixation_1	999	999
18.010567999997875	3.3417441000055987	face	3.3348001999838743	2
21.352423200005433	0.646624699991662	fixation_2	999	999
21.896472199994605	1.0005442000110634	feedback win	999	999
22.897050500003388	1.1180037999874912	ITI	999	999
24.018758699996397	0.696485099993879	fixation_1	999	999
24.715379400004167	3.0913849999778904	face	3.0845505999750458	2
27.806844799983082	0.696485099993879	fixation_2	999	999
28.350467699987348	1.0005779000057373	feedback win	999	999
29.351048399985302	3.2169563000206836	ITI	999	999
32.57162790000439	0.6995186999847647	fixation_1	999	999
33.27129229999264	3.0072104000137188	face	2.0673096000100486	3
36.278547900001286	0.6995186999847647	fixation_2	999	999
36.82353629998397	1.0004240999987815	feedback loss	999	999
37.82398909999756	5.3172860000049695	ITI	999	999
43.144977799995104	0.683725000009872	fixation_1	999	999
43.828847299999325	3.0917356999998447	face	3.0847685000044294	2
46.92067979997955	0.683725000009872	fixation_2	999	999
47.46469079999952	1.0006462000019383	feedback loss	999	999
48.46536549998564	3.216892199998256	ITI	999	999
51.68585149999126	0.6486234999902081	fixation_1	999	999
52.3346034999995	3.0075011999870185	face	2.317826899990905	3
55.34214839999913	0.6486234999902081	fixation_2	999	999
55.887023099989165	1.0007474000158254	feedback win	999	999
56.88779579999391	3.2168676999863237	ITI	999	999
60.10826469998574	0.6992079000046942	fixation_1	999	999
60.80761210000492	3.0070561999746133	face	2.8343468999955803	3
63.81471400000737	0.6992079000046942	fixation_2	999	999
64.36003769998206	1.0004940000071656	feedback loss	999	999
65.36053439998068	1.1175680000160355	ITI	999	999
66.48184019999462	0.7302481000078842	fixation_1	999	999
67.21223909998662	3.0922185000090394	face	3.0852411999949254	2
70.30454280000413	0.7302481000078842	fixation_2	999	999
70.84797659999458	1.0003843999875244	feedback win	999	999
71.84839319999446	1.117758899985347	ITI	999	999
72.96993900000234	0.7131614999962039	fixation_1	999	999
73.68320030000177	3.0073817999800667	face	2.317530100001022	2
76.6906261999975	0.7131614999962039	fixation_2	999	999
77.23547670000698	1.0006983999919612	feedback win	999	999
78.23617769998964	1.117993199994089	ITI	999	999
79.35802270000568	0.6963647999800742	fixation_1	999	999
80.05454610000015	3.0076391999900807	face	2.56667080000625	2
83.06222930000513	0.6963647999800742	fixation_2	999	999
83.60638990000007	1.0009113999840338	feedback loss	999	999
84.6073233000061	3.2170749999932013	ITI	999	999
87.82829010000569	0.6984803999948781	fixation_1	999	999
88.52694139999221	3.0919103999913204	face	3.085071700013941	2
91.61893719999352	0.6984803999948781	fixation_2	999	999
92.16302589999395	1.0003708000003826	feedback loss	999	999
93.16339929998503	1.118082900007721	ITI	999	999
94.28528519999236	0.6965518000070006	fixation_1	999	999
94.98195970000234	3.0757105999800842	face	n/a	n/a
98.05770469998242	0.6965518000070006	fixation_2	999	999
98.60056869999971	1.001046999997925	feedback win	999	999
99.60165189998224	5.316032700007781	ITI	999	999
104.92163219998474	0.7172056999988854	fixation_1	999	999
105.63895839999896	3.0775379999831785	face	n/a	n/a
108.71653209999204	0.7172056999988854	fixation_2	999	999
109.25817039998947	1.000999200012302	feedback win	999	999
110.2591720999917	1.117772600002354	ITI	999	999
111.38086109998403	0.6959617999964394	fixation_1	999	999
112.07697520000511	3.075410899997223	face	n/a	n/a
115.15242050000234	0.6959617999964394	fixation_2	999	999
115.69612999999663	1.0009857999975793	feedback win	999	999
116.69711849998566	5.316605900006834	ITI	999	999
122.01786649998394	0.6833164000126999	fixation_1	999	999
122.70133310000529	3.006880299974	face	2.8344811999995727	2
125.70825769999647	0.6833164000126999	fixation_2	999	999
126.25388149998616	1.0004577000217978	feedback win	999	999
127.25436930000433	3.2168718999892008	ITI	999	999
130.4752067999798	0.7155173000064678	fixation_1	999	999
131.1908424999856	3.008406600012677	face	1.0498501000110991	3
134.19929339998635	0.7155173000064678	fixation_2	999	999
134.7430744000012	1.0006093999836594	feedback win	999	999
135.7436868000077	3.216757099988172	ITI	999	999
138.9644699000055	0.6654140999889933	fixation_1	999	999
139.63001170000643	3.0744648999825586	face	n/a	n/a
142.7045106999867	0.6654140999889933	fixation_2	999	999
143.24903279999853	1.0007040000054985	feedback win	999	999
144.2497391999932	3.216770800005179	ITI	999	999
