onset	duration	trial_type	rt	resp
0.00031209998996928334	0.6062720000045374	fixation_1	999	999
0.6066366999875754	3.0034481000038795	face	1.782956600000034	2
3.6101221999997506	0.6062720000045374	fixation_2	999	999
4.156119899998885	1.000479099995573	feedback win	999	999
5.156601199996658	5.317327400000067	ITI	999	999
10.487464999998338	0.6020509999943897	fixation_1	999	999
11.089557599989348	3.003395500010811	face	1.7833606000058353	2
14.092990499993903	0.6020509999943897	fixation_2	999	999
14.639475099989795	1.0005124000017531	feedback loss	999	999
15.639989699993748	1.1178193999949144	ITI	999	999
16.760733499992057	0.5955897999956505	fixation_1	999	999
17.356371399990167	3.0035574000066845	face	1.7833193000114989	3
20.35997179998958	0.5955897999956505	fixation_2	999	999
20.90630649999366	1.0001561999961268	feedback win	999	999
21.90646499999275	1.1167507000063779	ITI	999	999
23.026120499998797	0.5969454000005499	fixation_1	999	999
23.623115599999437	3.0034746999881463	face	1.7829504999972414	2
26.626633299994865	0.5969454000005499	fixation_2	999	999
27.1727155999979	1.000136599992402	feedback win	999	999
28.172854399992502	3.2169483000034234	ITI	999	999
31.393050599988783	0.5967219000012847	fixation_1	999	999
31.989823299998534	3.003709299999173	face	1.7829669999919133	3
34.99357579999196	0.5967219000012847	fixation_2	999	999
35.53985169999942	1.0002050999901257	feedback loss	999	999
36.540059099992504	5.317012700004852	ITI	999	999
41.86003389999678	0.613157300002058	fixation_1	999	999
42.47325089998776	3.0037480000028154	face	1.7826068000140367	2
45.47703929999261	0.613157300002058	fixation_2	999	999
46.0229576999991	1.000134199988679	feedback loss	999	999
47.02309459999378	3.2162449000024935	ITI	999	999
50.24251229999936	0.6137440000020433	fixation_1	999	999
50.856314899996505	3.0037974000006216	face	1.5335860999912256	3
53.86014989999239	0.6137440000020433	fixation_2	999	999
54.4064029000001	1.0163123999955133	feedback win	999	999
55.42271719999553	3.2170211000047857	ITI	999	999
58.6426550999895	0.6135109000024386	fixation_1	999	999
59.256227399993804	3.002907600006438	face	2.0334135000011884	3
62.25917489999847	0.6135109000024386	fixation_2	999	999
62.80627359999926	1.000259399996139	feedback loss	999	999
63.806535099996836	1.118406599998707	ITI	999	999
64.92797099999734	0.594706199990469	fixation_1	999	999
65.52272369999264	3.003247400003602	face	2.034674399998039	2
68.52600849998998	0.594706199990469	fixation_2	999	999
69.07299409998814	1.0165415000083158	feedback win	999	999
70.08953789999941	1.1174788999924203	ITI	999	999
71.21007689999533	0.6293082000047434	fixation_1	999	999
71.83943319998798	3.0035464000102365	face	2.282525800008443	3
74.84301979999873	0.6293082000047434	fixation_2	999	999
75.38943579999614	1.0003737999941222	feedback win	999	999
76.38981189999322	1.1171833999978844	ITI	999	999
77.51012969999283	0.596408600002178	fixation_1	999	999
78.10660229998757	3.0028793000092264	face	1.7824007000017446	3
81.10951759999443	0.596408600002178	fixation_2	999	999
81.65618099999847	1.0003552999987733	feedback loss	999	999
82.65653839999868	3.2161084999970626	ITI	999	999
85.87572569999611	0.5974652000004426	fixation_1	999	999
86.47325579999597	3.0037269000022206	face	1.5326328999944963	2
89.47702059999574	0.5974652000004426	fixation_2	999	999
90.02261549999821	1.0005165999900782	feedback loss	999	999
91.02313449999201	1.1184462000092026	ITI	999	999
92.14472469998873	0.6113566000130959	fixation_1	999	999
92.75631630000134	3.0026557999954093	face	1.283038800000213	3
95.75900989999354	0.6113566000130959	fixation_2	999	999
96.30605719999585	1.016638300003251	feedback win	999	999
97.32269760000054	5.316002499996102	ITI	999	999
102.64186889999837	0.6142281999927945	fixation_1	999	999
103.2563317999884	3.0036718000046676	face	1.283503800004837	2
106.26004049999756	0.6142281999927945	fixation_2	999	999
106.80601439999009	1.016716500002076	feedback win	999	999
107.82273309999437	1.1176616000011563	ITI	999	999
108.94356329999573	0.6128658999950858	fixation_1	999	999
109.55649799999082	3.0025593000027584	face	1.7831417999987025	3
112.55909569999494	0.6128658999950858	fixation_2	999	999
113.10612559999572	1.0165170999971451	feedback win	999	999
114.12264469999354	5.3166760000021895	ITI	999	999
119.44249399998807	0.6135081000102218	fixation_1	999	999
120.05605719999585	3.0033823999983724	face	1.2836994999961462	2
123.05947779999406	0.6135081000102218	fixation_2	999	999
123.6062707999954	1.0163977000047453	feedback win	999	999
124.62267060000158	3.2163134000002174	ITI	999	999
127.8421507999883	0.5973602000012761	fixation_1	999	999
128.43956769999932	3.0034158999915235	face	2.2831741999980295	3
131.4430214999884	0.5973602000012761	fixation_2	999	999
131.9893316999951	1.0003561000048649	feedback win	999	999
132.9896899999876	3.2164188000024296	ITI	999	999
136.2094958999951	0.6132325999933528	fixation_1	999	999
136.82278529999894	3.0032426999969175	face	2.03261829999974	3
139.82606739999028	0.6132325999933528	fixation_2	999	999
140.3727583	1.0165975999989314	feedback win	999	999
141.3893578999996	3.216634600001271	ITI	999	999
144.60919889999786	0.6134725000010803	fixation_1	999	999
145.22272979999252	3.0032745000062278	face	1.7834948999952758	2
148.22604559999309	0.6134725000010803	fixation_2	999	999
148.77286549999553	1.000062799997977	feedback win	999	999
149.77293039999495	11.616359499996179	ITI	999	999
161.39281999999366	0.5964720000047237	fixation_1	999	999
161.98935119999805	3.0036287999973865	face	1.7833157999994	2
164.99301900000137	0.5964720000047237	fixation_2	999	999
165.53930009999021	1.0000748000020394	feedback loss	999	999
166.53937689999293	5.316073299996788	ITI	999	999
171.85876629999257	0.5971169999975245	fixation_1	999	999
172.4559431999951	3.0027644999936456	face	2.033075400002417	2
175.45874629999162	0.5971169999975245	fixation_2	999	999
