onset	duration	trial_type	response_time	Endowment
7.524210	1.132490	dec_ug-resp_accept	1.132490	23
7.524210	1.132490	dec_ug-resp_choice	1.132490	23
4.990810	2	cue_ug-prop	n/a	23
18.573800	1.999960	dec_dg-prop_less	1.999960	25
18.573800	1.999960	dec_dg-prop_choice	1.999960	25
13.040700	2	cue_ug-resp	n/a	25
28.123300	1.533480	dec_dg-prop_more	1.533480	21
28.123300	1.533480	dec_dg-prop_choice	1.533480	21
24.090800	2	cue_ug-resp	n/a	21
36.173800	1.649600	dec_ug-resp_accept	1.649600	15
36.173800	1.649600	dec_ug-resp_choice	1.649600	15
33.641100	2	cue_ug-prop	n/a	15
44.223300	1.683390	dec_ug-resp_reject	1.683390	17
44.223300	1.683390	dec_ug-resp_choice	1.683390	17
41.691000	2	cue_ug-prop	n/a	17
59.272200	1.167950	dec_dg-prop_more	1.167950	17
59.272200	1.167950	dec_dg-prop_choice	1.167950	17
53.741100	2	cue_ug-resp	n/a	17
69.322600	1.617500	dec_dg-prop_more	1.617500	15
69.322600	1.617500	dec_dg-prop_choice	1.617500	15
66.790500	2	cue_ug-resp	n/a	15
77.372700	1.467320	dec_ug-prop_less	1.467320	25
77.372700	1.467320	dec_ug-prop_choice	1.467320	25
74.840800	2	cue_dict	n/a	25
85.423200	1.816760	dec_dg-prop_less	1.816760	15
85.423200	1.816760	dec_dg-prop_choice	1.816760	15
82.890600	2	cue_ug-resp	n/a	15
94.972600	1.767400	dec_dg-prop_more	1.767400	15
94.972600	1.767400	dec_dg-prop_choice	1.767400	15
90.940700	2	cue_ug-resp	n/a	15
106.523000	1.800110	dec_ug-resp_accept	1.800110	15
106.523000	1.800110	dec_ug-resp_choice	1.800110	15
102.491000	2	cue_ug-prop	n/a	15
114.573000	1.900260	dec_ug-prop_more	1.900260	19
114.573000	1.900260	dec_ug-prop_choice	1.900260	19
112.041000	2	cue_dict	n/a	19
126.123000	2.950160	dec_ug-resp_reject	2.950160	23
126.123000	2.950160	dec_ug-resp_choice	2.950160	23
122.091000	2	cue_ug-prop	n/a	23
141.173000	1.449820	dec_ug-prop_more	1.449820	23
141.173000	1.449820	dec_ug-prop_choice	1.449820	23
138.641000	2	cue_dict	n/a	23
154.723000	2.316530	dec_ug-prop_less	2.316530	23
154.723000	2.316530	dec_ug-prop_choice	2.316530	23
150.691000	2	cue_dict	n/a	23
164.273000	2.982930	dec_ug-resp_reject	2.982930	17
164.273000	2.982930	dec_ug-resp_choice	2.982930	17
160.241000	2	cue_ug-prop	n/a	17
173.823000	1.266520	dec_ug-resp_accept	1.266520	21
173.823000	1.266520	dec_ug-resp_choice	1.266520	21
169.790000	2	cue_ug-prop	n/a	21
181.874000	2.782700	dec_ug-prop_more	2.782700	17
181.874000	2.782700	dec_ug-prop_choice	2.782700	17
179.341000	2	cue_dict	n/a	17
189.923000	2.733620	dec_ug-resp_reject	2.733620	23
189.923000	2.733620	dec_ug-resp_choice	2.733620	23
187.390000	2	cue_ug-prop	n/a	23
197.973000	1.350480	dec_ug-prop_less	1.350480	21
197.973000	1.350480	dec_ug-prop_choice	1.350480	21
195.441000	2	cue_dict	n/a	21
211.023000	2.166770	dec_ug-prop_more	2.166770	19
211.023000	2.166770	dec_ug-prop_choice	2.166770	19
205.491000	2	cue_dict	n/a	19
227.573000	1.283620	dec_ug-prop_more	1.283620	21
227.573000	1.283620	dec_ug-prop_choice	1.283620	21
223.541000	2	cue_dict	n/a	21
240.622000	1.633860	dec_ug-prop_more	1.633860	19
240.622000	1.633860	dec_ug-prop_choice	1.633860	19
235.090000	2	cue_dict	n/a	19
250.673000	1.333870	dec_dg-prop_more	1.333870	19
250.673000	1.333870	dec_dg-prop_choice	1.333870	19
248.140000	2	cue_ug-resp	n/a	19
262.723000	1.483190	dec_dg-prop_more	1.483190	17
262.723000	1.483190	dec_dg-prop_choice	1.483190	17
260.190000	2	cue_ug-resp	n/a	17
272.273000	1.416880	dec_ug-resp_reject	1.416880	19
272.273000	1.416880	dec_ug-resp_choice	1.416880	19
268.240000	2	cue_ug-prop	n/a	19
283.323000	2.733470	dec_dg-prop_more	2.733470	23
283.323000	2.733470	dec_dg-prop_choice	2.733470	23
277.791000	2	cue_ug-resp	n/a	23
293.373000	1.967250	dec_dg-prop_more	1.967250	19
293.373000	1.967250	dec_dg-prop_choice	1.967250	19
290.840000	2	cue_ug-resp	n/a	19
305.423000	2.616530	dec_dg-prop_less	2.616530	25
305.423000	2.616530	dec_dg-prop_choice	2.616530	25
302.890000	2	cue_ug-resp	n/a	25
320.473000	1.783260	dec_ug-prop_more	1.783260	15
320.473000	1.783260	dec_ug-prop_choice	1.783260	15
317.940000	2	cue_dict	n/a	15
332.524000	2.432560	dec_ug-resp_accept	2.432560	21
332.524000	2.432560	dec_ug-resp_choice	2.432560	21
329.990000	2	cue_ug-prop	n/a	21
342.572000	2.216960	dec_ug-prop_more	2.216960	15
342.572000	2.216960	dec_ug-prop_choice	2.216960	15
340.040000	2	cue_dict	n/a	15
350.623000	2.333280	dec_ug-prop_more	2.333280	23
350.623000	2.333280	dec_ug-prop_choice	2.333280	23
348.090000	2	cue_dict	n/a	23
361.672000	4	missed_trial	n/a	17
356.140000	2	cue_ug-prop	n/a	17
371.723000	1.449750	dec_dg-prop_more	1.449750	23
371.723000	1.449750	dec_dg-prop_choice	1.449750	23
369.190000	2	cue_ug-resp	n/a	23
381.273000	2.066620	dec_ug-resp_accept	2.066620	25
381.273000	2.066620	dec_ug-resp_choice	2.066620	25
377.240000	2	cue_ug-prop	n/a	25
