onset	duration	trial_type	response_time	Endowment
9.035410	1.967050	dec_ug-resp_reject	1.967050	19
9.035410	1.967050	dec_ug-resp_choice	1.967050	19
5.003050	2	cue_ug-prop	n/a	19
24.085800	2.400130	dec_ug-resp_accept	2.400130	19
24.085800	2.400130	dec_ug-resp_choice	2.400130	19
18.553500	2	cue_ug-prop	n/a	19
32.135300	1.433650	dec_ug-resp_accept	1.433650	17
32.135300	1.433650	dec_ug-resp_choice	1.433650	17
29.603100	2	cue_ug-prop	n/a	17
41.685700	1.366760	dec_dg-prop_more	1.366760	17
41.685700	1.366760	dec_dg-prop_choice	1.366760	17
37.653100	2	cue_ug-resp	n/a	17
49.735500	1.733600	dec_dg-prop_more	1.733600	25
49.735500	1.733600	dec_dg-prop_choice	1.733600	25
47.203300	2	cue_ug-resp	n/a	25
57.786400	2.315880	dec_dg-prop_more	2.315880	15
57.786400	2.315880	dec_dg-prop_choice	2.315880	15
55.253000	2	cue_ug-resp	n/a	15
71.335300	1.350500	dec_dg-prop_more	1.350500	23
71.335300	1.350500	dec_dg-prop_choice	1.350500	23
67.303000	2	cue_ug-resp	n/a	23
82.885300	1.700380	dec_ug-prop_more	1.700380	23
82.885300	1.700380	dec_ug-prop_choice	1.700380	23
78.853300	2	cue_dict	n/a	23
90.935300	1.500500	dec_ug-prop_more	1.500500	21
90.935300	1.500500	dec_ug-prop_choice	1.500500	21
88.403400	2	cue_dict	n/a	21
100.485000	4	missed_trial	n/a	23
96.453200	2	cue_ug-prop	n/a	23
111.552000	1.350010	dec_ug-resp_reject	1.350010	23
111.552000	1.350010	dec_ug-resp_choice	1.350010	23
106.020000	2	cue_ug-prop	n/a	23
121.602000	1.900030	dec_ug-resp_accept	1.900030	25
121.602000	1.900030	dec_ug-resp_choice	1.900030	25
119.070000	2	cue_ug-prop	n/a	25
134.652000	2.001190	dec_ug-resp_accept	2.001190	19
134.652000	2.001190	dec_ug-resp_choice	2.001190	19
129.120000	2	cue_ug-prop	n/a	19
146.202000	1.900660	dec_ug-prop_more	1.900660	19
146.202000	1.900660	dec_ug-prop_choice	1.900660	19
142.170000	2	cue_dict	n/a	19
154.251000	2.184590	dec_ug-resp_accept	2.184590	17
154.251000	2.184590	dec_ug-resp_choice	2.184590	17
151.570000	2	cue_ug-prop	n/a	17
164.302000	1.316920	dec_dg-prop_more	1.316920	15
164.302000	1.316920	dec_dg-prop_choice	1.316920	15
161.769000	2	cue_ug-resp	n/a	15
179.352000	2.149550	dec_ug-resp_accept	2.149550	25
179.352000	2.149550	dec_ug-resp_choice	2.149550	25
176.820000	2	cue_ug-prop	n/a	25
187.402000	1.649830	dec_ug-prop_more	1.649830	23
187.402000	1.649830	dec_ug-prop_choice	1.649830	23
184.870000	2	cue_dict	n/a	23
195.451000	1.800580	dec_ug-prop_more	1.800580	17
195.451000	1.800580	dec_ug-prop_choice	1.800580	17
192.920000	2	cue_dict	n/a	17
203.502000	1.633710	dec_dg-prop_more	1.633710	19
203.502000	1.633710	dec_dg-prop_choice	1.633710	19
200.969000	2	cue_ug-resp	n/a	19
216.552000	1.615890	dec_dg-prop_more	1.615890	15
216.552000	1.615890	dec_dg-prop_choice	1.615890	15
211.019000	2	cue_ug-resp	n/a	15
228.602000	1.433630	dec_ug-prop_more	1.433630	15
228.602000	1.433630	dec_ug-prop_choice	1.433630	15
226.070000	2	cue_dict	n/a	15
238.651000	1.617910	dec_dg-prop_more	1.617910	23
238.651000	1.617910	dec_dg-prop_choice	1.617910	23
236.119000	2	cue_ug-resp	n/a	23
253.702000	1.700230	dec_ug-prop_more	1.700230	23
253.702000	1.700230	dec_ug-prop_choice	1.700230	23
251.169000	2	cue_dict	n/a	23
261.752000	2.200660	dec_ug-prop_more	2.200660	21
261.752000	2.200660	dec_ug-prop_choice	2.200660	21
259.220000	2	cue_dict	n/a	21
275.301000	1.534210	dec_ug-prop_more	1.534210	15
275.301000	1.534210	dec_ug-prop_choice	1.534210	15
271.270000	2	cue_dict	n/a	15
283.351000	1.866940	dec_ug-resp_reject	1.866940	15
283.351000	1.866940	dec_ug-resp_choice	1.866940	15
