onset	duration	trial_type	response_time	Endowment
7.525034	1.999953	dec_ug-resp_accept	1.999953	19
7.525034	1.999953	dec_ug-resp_choice	1.999953	19
4.992383	2	cue_ug-prop	n/a	19
4.992383	2	cue_ug-prop_parametric	n/a	19
15.574868	1.199731	dec_ug-prop_more	1.199731	21
15.574868	1.199731	dec_ug-prop_choice	1.199731	21
13.042814	2	cue_dict	n/a	21
13.042814	2	cue_dict_parametric	n/a	21
25.124790	1.650297	dec_ug-resp_accept	1.650297	15
25.124790	1.650297	dec_ug-resp_choice	1.650297	15
21.092380	2	cue_ug-prop	n/a	15
21.092380	2	cue_ug-prop_parametric	n/a	15
35.175076	1.166532	dec_dg-prop_less	1.166532	17
35.175076	1.166532	dec_dg-prop_choice	1.166532	17
32.642200	2	cue_ug-resp	n/a	17
32.642200	2	cue_ug-resp_parametric	n/a	17
47.225056	1.383325	dec_ug-prop_less	1.383325	19
47.225056	1.383325	dec_ug-prop_choice	1.383325	19
44.692245	2	cue_dict	n/a	19
44.692245	2	cue_dict_parametric	n/a	19
55.274067	4	missed_trial	n/a	17
52.741795	2	cue_dict	n/a	17
52.741795	2	cue_dict_parametric	n/a	17
65.324486	1.200460	dec_ug-prop_more	1.200460	15
65.324486	1.200460	dec_ug-prop_choice	1.200460	15
62.792297	2	cue_dict	n/a	15
62.792297	2	cue_dict_parametric	n/a	15
78.374410	1.233983	dec_ug-prop_less	1.233983	23
78.374410	1.233983	dec_ug-prop_choice	1.233983	23
72.842160	2	cue_dict	n/a	23
72.842160	2	cue_dict_parametric	n/a	23
87.924530	1.783533	dec_ug-prop_more	1.783533	15
87.924530	1.783533	dec_ug-prop_choice	1.783533	15
83.892080	2	cue_dict	n/a	15
83.892080	2	cue_dict_parametric	n/a	15
99.475110	1.816053	dec_ug-resp_accept	1.816053	21
99.475110	1.816053	dec_ug-resp_choice	1.816053	21
95.442055	2	cue_ug-prop	n/a	21
95.442055	2	cue_ug-prop_parametric	n/a	21
107.524520	1.250198	dec_dg-prop_less	1.250198	17
107.524520	1.250198	dec_dg-prop_choice	1.250198	17
104.991940	2	cue_ug-resp	n/a	17
104.991940	2	cue_ug-resp_parametric	n/a	17
121.075280	1.399310	dec_ug-resp_reject	1.399310	21
121.075280	1.399310	dec_ug-resp_choice	1.399310	21
117.042076	2	cue_ug-prop	n/a	21
117.042076	2	cue_ug-prop_parametric	n/a	21
129.125200	1.116172	dec_dg-prop_more	1.116172	25
129.125200	1.116172	dec_dg-prop_choice	1.116172	25
126.591995	2	cue_ug-resp	n/a	25
126.591995	2	cue_ug-resp_parametric	n/a	25
144.175060	1.266139	dec_dg-prop_less	1.266139	21
144.175060	1.266139	dec_dg-prop_choice	1.266139	21
138.641740	2	cue_ug-resp	n/a	21
138.641740	2	cue_ug-resp_parametric	n/a	21
159.225100	1.749430	dec_dg-prop_less	1.749430	15
159.225100	1.749430	dec_dg-prop_choice	1.749430	15
153.691770	2	cue_ug-resp	n/a	15
153.691770	2	cue_ug-resp_parametric	n/a	15
167.275100	1.332987	dec_ug-prop_more	1.332987	25
167.275100	1.332987	dec_ug-prop_choice	1.332987	25
164.741960	2	cue_dict	n/a	25
164.741960	2	cue_dict_parametric	n/a	25
175.323620	1.450920	dec_ug-resp_accept	1.450920	25
175.323620	1.450920	dec_ug-resp_choice	1.450920	25
172.791760	2	cue_ug-prop	n/a	25
172.791760	2	cue_ug-prop_parametric	n/a	25
183.374340	1.133526	dec_ug-resp_reject	1.133526	23
183.374340	1.133526	dec_ug-resp_choice	1.133526	23
180.841630	2	cue_ug-prop	n/a	23
180.841630	2	cue_ug-prop_parametric	n/a	23
193.424130	1.366891	dec_dg-prop_less	1.366891	21
193.424130	1.366891	dec_dg-prop_choice	1.366891	21
190.891620	2	cue_ug-resp	n/a	21
190.891620	2	cue_ug-resp_parametric	n/a	21
202.974610	1.816372	dec_dg-prop_less	1.816372	25
202.974610	1.816372	dec_dg-prop_choice	1.816372	25
198.941540	2	cue_ug-resp	n/a	25
198.941540	2	cue_ug-resp_parametric	n/a	25
216.024110	1.266805	dec_ug-resp_accept	1.266805	25
216.024110	1.266805	dec_ug-resp_choice	1.266805	25
210.491670	2	cue_ug-prop	n/a	25
210.491670	2	cue_ug-prop_parametric	n/a	25
224.074860	1.749193	dec_dg-prop_more	1.749193	25
224.074860	1.749193	dec_dg-prop_choice	1.749193	25
221.541490	2	cue_ug-resp	n/a	25
221.541490	2	cue_ug-resp_parametric	n/a	25
240.624800	1.032738	dec_ug-prop_less	1.032738	25
240.624800	1.032738	dec_ug-prop_choice	1.032738	25
236.591520	2	cue_dict	n/a	25
236.591520	2	cue_dict_parametric	n/a	25
250.673920	1.800098	dec_ug-prop_less	1.800098	23
250.673920	1.800098	dec_ug-prop_choice	1.800098	23
248.141530	2	cue_dict	n/a	23
248.141530	2	cue_dict_parametric	n/a	23
260.723300	1.034213	dec_dg-prop_less	1.034213	19
260.723300	1.034213	dec_dg-prop_choice	1.034213	19
258.191400	2	cue_ug-resp	n/a	19
258.191400	2	cue_ug-resp_parametric	n/a	19
275.773700	1.350198	dec_ug-resp_accept	1.350198	23
275.773700	1.350198	dec_ug-resp_choice	1.350198	23
273.241330	2	cue_ug-prop	n/a	23
273.241330	2	cue_ug-prop_parametric	n/a	23
283.824860	1.832483	dec_dg-prop_less	1.832483	25
283.824860	1.832483	dec_dg-prop_choice	1.832483	25
281.291230	2	cue_ug-resp	n/a	25
281.291230	2	cue_ug-resp_parametric	n/a	25
295.373930	1.449919	dec_ug-resp_reject	1.449919	21
295.373930	1.449919	dec_ug-resp_choice	1.449919	21
291.341340	2	cue_ug-prop	n/a	21
291.341340	2	cue_ug-prop_parametric	n/a	21
311.923700	1.649927	dec_ug-resp_reject	1.649927	15
311.923700	1.649927	dec_ug-resp_choice	1.649927	15
307.891240	2	cue_ug-prop	n/a	15
307.891240	2	cue_ug-prop_parametric	n/a	15
322.973500	1.850399	dec_dg-prop_more	1.850399	17
322.973500	1.850399	dec_dg-prop_choice	1.850399	17
317.441200	2	cue_ug-resp	n/a	17
317.441200	2	cue_ug-resp_parametric	n/a	17
332.523650	2.733519	dec_ug-prop_more	2.733519	19
332.523650	2.733519	dec_ug-prop_choice	2.733519	19
328.491060	2	cue_dict	n/a	19
328.491060	2	cue_dict_parametric	n/a	19
344.573580	1.383537	dec_ug-prop_more	1.383537	15
344.573580	1.383537	dec_ug-prop_choice	1.383537	15
342.041140	2	cue_dict	n/a	15
342.041140	2	cue_dict_parametric	n/a	15
352.624400	1.449272	dec_ug-resp_accept	1.449272	23
352.624400	1.449272	dec_ug-resp_choice	1.449272	23
350.091200	2	cue_ug-prop	n/a	23
350.091200	2	cue_ug-prop_parametric	n/a	23
360.673680	1.333362	dec_ug-resp_reject	1.333362	23
360.673680	1.333362	dec_ug-resp_choice	1.333362	23
358.141170	2	cue_ug-prop	n/a	23
358.141170	2	cue_ug-prop_parametric	n/a	23
373.723660	1.316700	dec_dg-prop_less	1.316700	21
373.723660	1.316700	dec_dg-prop_choice	1.316700	21
368.190950	2	cue_ug-resp	n/a	21
368.190950	2	cue_ug-resp_parametric	n/a	21
383.274260	1.982966	dec_ug-prop_more	1.982966	21
383.274260	1.982966	dec_ug-prop_choice	1.982966	21
379.241030	2	cue_dict	n/a	21
379.241030	2	cue_dict_parametric	n/a	21
