onset	duration	trial_type	response_time	Endowment
7.528289	1.585972	dec_ug-resp_reject	1.585972	17
7.528289	1.585972	dec_ug-resp_choice	1.585972	17
4.994799	2	cue_ug-prop	n/a	17
4.994799	2	cue_ug-prop_parametric	n/a	17
17.084730	1.570799	dec_ug-resp_accept	1.570799	17
17.084730	1.570799	dec_ug-resp_choice	1.570799	17
13.051512	2	cue_ug-prop	n/a	17
13.051512	2	cue_ug-prop_parametric	n/a	17
25.126692	0.801397	dec_ug-prop_more	0.801397	15
25.126692	0.801397	dec_ug-prop_choice	0.801397	15
22.592714	2	cue_dict	n/a	15
22.592714	2	cue_dict_parametric	n/a	15
37.169315	2.587020	dec_ug-resp_accept	2.587020	17
37.169315	2.587020	dec_ug-resp_choice	2.587020	17
34.635850	2	cue_ug-prop	n/a	17
34.635850	2	cue_ug-prop_parametric	n/a	17
49.212660	1.785965	dec_ug-resp_accept	1.785965	23
49.212660	1.785965	dec_ug-resp_choice	1.785965	23
46.679047	2	cue_ug-prop	n/a	23
46.679047	2	cue_ug-prop_parametric	n/a	23
57.252342	1.919766	dec_ug-prop_more	1.919766	17
57.252342	1.919766	dec_ug-prop_choice	1.919766	17
54.735930	2	cue_dict	n/a	17
54.735930	2	cue_dict_parametric	n/a	17
66.792480	1.353409	dec_dg-prop_less	1.353409	17
66.792480	1.353409	dec_dg-prop_choice	1.353409	17
62.775608	2	cue_ug-resp	n/a	17
62.775608	2	cue_ug-resp_parametric	n/a	17
76.333664	1.286771	dec_dg-prop_less	1.286771	23
76.333664	1.286771	dec_dg-prop_choice	1.286771	23
72.300170	2	cue_ug-resp	n/a	23
72.300170	2	cue_ug-resp_parametric	n/a	23
88.378540	1.618870	dec_dg-prop_less	1.618870	25
88.378540	1.618870	dec_dg-prop_choice	1.618870	25
85.844580	2	cue_ug-resp	n/a	25
85.844580	2	cue_ug-resp_parametric	n/a	25
99.919525	1.720624	dec_ug-prop_more	1.720624	19
99.919525	1.720624	dec_ug-prop_choice	1.720624	19
95.902954	2	cue_dict	n/a	19
95.902954	2	cue_dict_parametric	n/a	19
109.460815	2.371424	dec_ug-resp_reject	2.371424	21
109.460815	2.371424	dec_ug-resp_choice	2.371424	21
105.427475	2	cue_ug-prop	n/a	21
105.427475	2	cue_ug-prop_parametric	n/a	21
119.503670	1.802995	dec_ug-resp_reject	1.802995	17
119.503670	1.802995	dec_ug-resp_choice	1.802995	17
116.970560	2	cue_ug-prop	n/a	17
116.970560	2	cue_ug-prop_parametric	n/a	17
131.045230	2.655062	dec_ug-prop_more	2.655062	19
131.045230	2.655062	dec_ug-prop_choice	2.655062	19
127.028600	2	cue_dict	n/a	19
127.028600	2	cue_dict_parametric	n/a	19
139.086940	2.102826	dec_dg-prop_less	2.102826	15
139.086940	2.102826	dec_dg-prop_choice	2.102826	15
136.552890	2	cue_ug-resp	n/a	15
136.552890	2	cue_ug-resp_parametric	n/a	15
149.128430	2.202685	dec_ug-resp_reject	2.202685	25
149.128430	2.202685	dec_ug-resp_choice	2.202685	25
146.611340	2	cue_ug-prop	n/a	25
146.611340	2	cue_ug-prop_parametric	n/a	25
158.668370	0.919701	dec_dg-prop_less	0.919701	17
158.668370	0.919701	dec_dg-prop_choice	0.919701	17
154.651300	2	cue_ug-resp	n/a	17
154.651300	2	cue_ug-resp_parametric	n/a	17
166.708340	2.420553	dec_ug-resp_accept	2.420553	19
166.708340	2.420553	dec_ug-resp_choice	2.420553	19
164.175690	2	cue_ug-prop	n/a	19
164.175690	2	cue_ug-prop_parametric	n/a	19
181.752320	1.505353	dec_dg-prop_less	1.505353	15
181.752320	1.505353	dec_dg-prop_choice	1.505353	15
176.219020	2	cue_ug-resp	n/a	15
176.219020	2	cue_ug-resp_parametric	n/a	15
192.794650	2.572805	dec_ug-prop_more	2.572805	21
192.794650	2.572805	dec_ug-prop_choice	2.572805	21
187.261380	2	cue_dict	n/a	21
187.261380	2	cue_dict_parametric	n/a	21
202.336720	0.970599	dec_dg-prop_less	0.970599	23
202.336720	0.970599	dec_dg-prop_choice	0.970599	23
198.303850	2	cue_ug-resp	n/a	23
198.303850	2	cue_ug-resp_parametric	n/a	23
210.378480	1.435837	dec_ug-prop_more	1.435837	19
210.378480	1.435837	dec_ug-prop_choice	1.435837	19
207.845080	2	cue_dict	n/a	19
207.845080	2	cue_dict_parametric	n/a	19
220.420200	1.302174	dec_ug-prop_more	1.302174	17
220.420200	1.302174	dec_ug-prop_choice	1.302174	17
217.886810	2	cue_dict	n/a	17
217.886810	2	cue_dict_parametric	n/a	17
228.476850	1.869278	dec_ug-resp_reject	1.869278	19
228.476850	1.869278	dec_ug-resp_choice	1.869278	19
225.943620	2	cue_ug-prop	n/a	19
225.943620	2	cue_ug-prop_parametric	n/a	19
238.016510	2.755088	dec_ug-prop_less	2.755088	25
238.016510	2.755088	dec_ug-prop_choice	2.755088	25
233.999900	2	cue_dict	n/a	25
233.999900	2	cue_dict_parametric	n/a	25
247.557980	1.553739	dec_ug-prop_more	1.553739	23
247.557980	1.553739	dec_ug-prop_choice	1.553739	23
243.524540	2	cue_dict	n/a	23
243.524540	2	cue_dict_parametric	n/a	23
262.604740	2.886828	dec_ug-resp_reject	2.886828	19
262.604740	2.886828	dec_ug-resp_choice	2.886828	19
260.071470	2	cue_ug-prop	n/a	19
260.071470	2	cue_ug-prop_parametric	n/a	19
272.647000	2.752936	dec_ug-prop_more	2.752936	25
272.647000	2.752936	dec_ug-prop_choice	2.752936	25
270.112980	2	cue_dict	n/a	25
270.112980	2	cue_dict_parametric	n/a	25
282.688780	2.118819	dec_dg-prop_less	2.118819	17
282.688780	2.118819	dec_dg-prop_choice	2.118819	17
280.171050	2	cue_ug-resp	n/a	17
280.171050	2	cue_ug-resp_parametric	n/a	17
290.744870	2.335952	dec_ug-resp_accept	2.335952	15
290.744870	2.335952	dec_ug-resp_choice	2.335952	15
288.211120	2	cue_ug-prop	n/a	15
288.211120	2	cue_ug-prop_parametric	n/a	15
305.787960	1.571527	dec_dg-prop_less	1.571527	17
305.787960	1.571527	dec_dg-prop_choice	1.571527	17
300.254580	2	cue_ug-resp	n/a	17
300.254580	2	cue_ug-resp_parametric	n/a	17
315.831630	1.402796	dec_ug-prop_more	1.402796	19
315.831630	1.402796	dec_ug-prop_choice	1.402796	19
313.298460	2	cue_dict	n/a	19
313.298460	2	cue_dict_parametric	n/a	19
333.877530	2.539220	dec_dg-prop_less	2.539220	25
